"","UNIQUE_CARRIER","YEAR","MONTH","DAY_OF_MONTH","count","c_rate","cancel","lower","upper","date","airline"
"52","9E",2010,2,21,723,0.0401106500691563,29,0.0270244342246236,0.0570997772746311,"2010-2-21",NA
"53","9E",2010,2,22,765,0.159477124183007,122,0.134232020643823,0.187378727009725,"2010-2-22",NA
"54","9E",2010,2,23,756,0.0542328042328042,41,0.0391959087652076,0.0728566869934101,"2010-2-23",NA
"55","9E",2010,2,24,763,0.0406290956749672,31,0.0277695600820771,0.0571763915776834,"2010-2-24",NA
"56","9E",2010,2,25,766,0.0966057441253264,74,0.0766181127297323,0.119759612161245,"2010-2-25",NA
"57","9E",2010,2,26,762,0.119422572178478,91,0.0972500638298811,0.144587938213468,"2010-2-26",NA
"58","9E",2010,2,27,628,0.0382165605095541,24,0.0246368023267262,0.0563315265992385,"2010-2-27",NA
"59","9E",2010,2,28,722,0.0152354570637119,11,0.00762937811782927,0.02709661664559,"2010-2-28",NA
"60","9E",2010,3,1,763,0.00786369593709043,6,0.00289114662189216,0.0170368777790775,"2010-3-1",NA
"61","9E",2010,3,2,754,0.0503978779840849,38,0.0359079241632836,0.068521713427301,"2010-3-2",NA
"62","9E",2010,3,3,763,0.0249017038007864,19,0.0150575211972489,0.0386148400217626,"2010-3-3",NA
"63","9E",2010,3,4,770,0.0155844155844156,12,0.00807794674224549,0.027064463564375,"2010-3-4",NA
"64","9E",2010,3,5,768,0.00520833333333333,4,0.00142086409126563,0.013281296693604,"2010-3-5",NA
"65","9E",2010,3,6,639,0.00312989045383412,2,0.000379269263300674,0.0112601128674612,"2010-3-6",NA
"66","9E",2010,3,7,728,0.00137362637362637,1,3.47766040494912e-05,0.00762936899698929,"2010-3-7",NA
"67","9E",2010,3,8,765,0.0117647058823529,9,0.00539329661887511,0.0222151607194118,"2010-3-8",NA
"68","9E",2010,3,9,759,0.0158102766798419,12,0.00819539204487996,0.0274543742093144,"2010-3-9",NA
"69","9E",2010,3,10,765,0.0143790849673203,11,0.00719926243426683,0.0255822258390273,"2010-3-10",NA
"70","9E",2010,3,11,770,0.0506493506493507,39,0.036261098810167,0.0685918438298396,"2010-3-11",NA
"71","9E",2010,3,12,766,0.0548302872062663,42,0.0397990022411618,0.0733950673534578,"2010-3-12",NA
"72","9E",2010,3,13,638,0.0219435736677116,14,0.012047452200088,0.0365437291481577,"2010-3-13",NA
"73","9E",2010,3,14,729,0.0493827160493827,36,0.0348233148774273,0.0677139307722554,"2010-3-14",NA
"74","9E",2010,3,15,768,0.0169270833333333,13,0.00904295511812758,0.0287718930563146,"2010-3-15",NA
"75","9E",2010,3,16,759,0.00527009222661397,4,0.00143773354794796,0.0134381342673577,"2010-3-16",NA
"76","9E",2010,3,17,765,0.0130718954248366,10,0.00628579932918272,0.0239079342953431,"2010-3-17",NA
"77","9E",2010,3,18,770,0.00909090909090909,7,0.00366260607344782,0.0186405694713971,"2010-3-18",NA
"78","9E",2010,3,19,768,0.0169270833333333,13,0.00904295511812758,0.0287718930563146,"2010-3-19",NA
"79","9E",2010,3,20,640,0.025,16,0.014355654038938,0.040281586126332,"2010-3-20",NA
"80","9E",2010,3,21,729,0.0274348422496571,20,0.0168366935663258,0.0420539855129063,"2010-3-21",NA
"81","9E",2010,3,22,766,0.0117493472584856,9,0.00538623778305547,0.0221863128156148,"2010-3-22",NA
"82","9E",2010,3,23,759,0.0210803689064559,16,0.0120961031913148,0.0340079408865659,"2010-3-23",NA
"83","9E",2010,3,24,765,0.00784313725490196,6,0.00288357418058105,0.0169925428537464,"2010-3-24",NA
"84","9E",2010,3,25,770,0.0103896103896104,8,0.00449586909708755,0.0203685771561909,"2010-3-25",NA
"85","9E",2010,3,26,766,0.0378590078328982,29,0.0254987095796158,0.0539213351818634,"2010-3-26",NA
"86","9E",2010,3,27,640,0.0296875,19,0.0179664670319395,0.0459736562108585,"2010-3-27",NA
"87","9E",2010,3,28,726,0.0165289256198347,12,0.00856915312993412,0.0286945565942338,"2010-3-28",NA
"88","9E",2010,3,29,765,0.0248366013071895,19,0.0150179838475901,0.0385145969921145,"2010-3-29",NA
"89","9E",2010,3,30,759,0.00658761528326746,5,0.00214233862024393,0.0153058615675744,"2010-3-30",NA
"90","9E",2010,3,31,765,0.0117647058823529,9,0.00539329661887511,0.0222151607194118,"2010-3-31",NA
"91","9E",2010,4,1,770,0.0038961038961039,3,0.000804192101983903,0.0113434979202203,"2010-4-1",NA
"92","9E",2010,4,2,766,0.00391644908616188,3,0.000808395333443457,0.0114025097994449,"2010-4-2",NA
"93","9E",2010,4,3,635,0.0031496062992126,2,0.000381659788954769,0.0113307509147241,"2010-4-3",NA
"94","9E",2010,4,4,725,0.00827586206896552,6,0.00304297642885476,0.0179254891196895,"2010-4-4",NA
"95","9E",2010,4,5,760,0.0236842105263158,18,0.014095769337933,0.0371737230709285,"2010-4-5",NA
"96","9E",2010,4,6,757,0.0132100396301189,10,0.00635241378811058,0.0241591879810967,"2010-4-6",NA
"97","9E",2010,4,7,762,0.010498687664042,8,0.00454318034034429,0.0205813278161389,"2010-4-7",NA
"98","9E",2010,4,8,767,0.0221642764015645,17,0.0129632624367034,0.0352505768481388,"2010-4-8",NA
"99","9E",2010,4,9,766,0.0195822454308094,15,0.0110004358425014,0.0320925201424236,"2010-4-9",NA
"100","9E",2010,4,10,550,0.0145454545454545,8,0.00630006023048157,0.0284583523192556,"2010-4-10",NA
"101","9E",2010,4,11,721,0.0221914008321775,16,0.0127362450162959,0.0357878095087865,"2010-4-11",NA
"102","9E",2010,4,12,766,0.00391644908616188,3,0.000808395333443457,0.0114025097994449,"2010-4-12",NA
"103","9E",2010,4,13,764,0.00392670157068063,3,0.000810513468972762,0.0114322465842139,"2010-4-13",NA
"104","9E",2010,4,14,761,0.00919842312746386,7,0.00370601320515995,0.0188599451240788,"2010-4-14",NA
"105","9E",2010,4,15,760,0.00131578947368421,1,3.33123503738486e-05,0.00730909820688463,"2010-4-15",NA
"106","9E",2010,4,16,757,0,0,0,0.00486117045729495,"2010-4-16",NA
"107","9E",2010,4,17,535,0.00186915887850467,1,4.7321885862317e-05,0.0103698997920745,"2010-4-17",NA
"108","9E",2010,4,18,716,0.00139664804469274,1,3.53594418573966e-05,0.00775682750417939,"2010-4-18",NA
"109","9E",2010,4,19,763,0,0,0,0.00482303602460632,"2010-4-19",NA
"110","9E",2010,4,20,763,0.00131061598951507,1,3.31813734497644e-05,0.00728044600167632,"2010-4-20",NA
