"","UNIQUE_CARRIER","ORIGIN","DEST","count","c_rate","distance"
"93","9E","ATL","SHV",82,0.0487804878048781,115
"94","9E","ATL","SRQ",35,0,89.4285714285714
"95","9E","ATL","STL",151,0.0132450331125828,104.337748344371
"96","9E","ATL","SYR",263,0.00760456273764259,131.809885931559
"97","9E","ATL","TLH",196,0.0255102040816327,69.6275510204082
"98","9E","ATL","TUL",310,0.0290322580645161,125.177419354839
"99","9E","ATL","TYS",1893,0.0332805071315372,56.5472794506075
"100","9E","ATL","VPS",105,0.019047619047619,73.6571428571429
"101","9E","ATL","XNA",244,0.0573770491803279,114.508196721311
"102","9E","ATW","ATL",83,0.0240963855421687,132.204819277108
"103","9E","ATW","DTW",2267,0.0242611380679312,81.0644022937803
"104","9E","ATW","MSP",1479,0.0277214334009466,70.2413793103448
"105","9E","AUS","ATL",219,0.0547945205479452,134.488584474886
"106","9E","AUS","DTW",806,0.0136476426799007,177.306451612903
"107","9E","AUS","JFK",2,0,220
"108","9E","AUS","MCO",2,0,145
"109","9E","AUS","MEM",947,0.0200633579725449,104.492080253432
"110","9E","AUS","MSP",823,0.00972053462940462,167.698663426488
"111","9E","AUS","SLC",341,0.0205278592375367,180.325513196481
"112","9E","AVL","ATL",236,0.0423728813559322,62.7838983050847
"113","9E","AVL","DTW",822,0.0328467153284672,107.484184914842
"114","9E","AVL","LGA",50,0.04,119.4
"115","9E","AVP","ATL",21,0,133.285714285714
"116","9E","AVP","DTW",1914,0.0271682340647858,101.897074190178
"117","9E","AZO","DTW",2925,0.0372649572649573,60.385641025641
"118","9E","AZO","MSP",658,0.0364741641337386,101.393617021277
"119","9E","BDL","CVG",580,0.0327586206896552,134.944827586207
"120","9E","BDL","DCA",13,0.307692307692308,89
"121","9E","BDL","DTW",638,0.0266457680250784,123.628526645768
"122","9E","BDL","JFK",96,0.0416666666666667,74.8541666666667
"123","9E","BDL","MSP",275,0.0109090909090909,180.938181818182
"124","9E","BDL","RDU",241,0.037344398340249,111.941908713693
"125","9E","BGM","DTW",1838,0.0250272034820457,94.1371055495103
"126","9E","BGR","DTW",602,0.0182724252491694,145.476744186047
"127","9E","BGR","LGA",61,0.0491803278688525,106.622950819672
"128","9E","BHM","ATL",258,0.0697674418604651,70.3062015503876
"129","9E","BHM","DTW",1980,0.0232323232323232,127.870202020202
"130","9E","BHM","LGA",54,0,164.388888888889
"131","9E","BHM","MEM",753,0.0199203187250996,66.0385126162019
"132","9E","BHM","MSP",232,0.0387931034482759,159.538793103448
"133","9E","BIL","MSP",70,0.0428571428571429,118.328571428571
"134","9E","BIS","MSP",1726,0.0162224797219003,83.9420625724218
"135","9E","BJI","MSP",7,0,61.8571428571429
"136","9E","BMI","ATL",60,0.0666666666666667,102.966666666667
"137","9E","BMI","DTW",1348,0.021513353115727,85.5600890207715
"138","9E","BMI","MSP",667,0.0344827586206897,90.400299850075
"139","9E","BNA","ATL",340,0.0352941176470588,75.0058823529412
"140","9E","BNA","CVG",408,0.0220588235294118,71.5759803921569
"141","9E","BNA","DTW",651,0.0353302611367127,106.244239631336
"142","9E","BNA","JFK",402,0.0597014925373134,147.410447761194
"143","9E","BNA","LGA",124,0.0887096774193548,134.362903225806
"144","9E","BNA","MEM",585,0.041025641025641,70.4393162393162
"145","9E","BNA","MSP",1138,0.0307557117750439,135.615992970123
"146","9E","BNA","SLC",1,0,215
"147","9E","BOI","MSP",13,0.0769230769230769,164.846153846154
"148","9E","BOI","SLC",31,0.032258064516129,68
"149","9E","BOS","CMH",20,0,133.95
"150","9E","BOS","CVG",589,0.0152801358234295,143.876061120543
"151","9E","BOS","DCA",18,0.111111111111111,108.888888888889
"152","9E","BOS","DTW",58,0.0344827586206897,139.206896551724
"153","9E","BOS","IND",471,0.0403397027600849,163.785562632696
"154","9E","BOS","JFK",939,0.0798722044728434,86.0553780617678
"155","9E","BOS","MEM",292,0.0273972602739726,202.267123287671
"156","9E","BOS","MSP",7,0,201.857142857143
"157","9E","BOS","ORF",470,0.0404255319148936,107.829787234043
"158","9E","BOS","RDU",264,0.0454545454545455,134.337121212121
"159","9E","BTR","MEM",397,0.0377833753148615,75.0352644836272
"160","9E","BTV","DTW",1833,0.0305510092744135,122.45390070922
"161","9E","BTV","JFK",193,0.0621761658031088,102.891191709845
"162","9E","BTV","LGA",8,0,79.375
"163","9E","BUF","ATL",3,0,128
"164","9E","BUF","CVG",1,0,97
"165","9E","BUF","DTW",2226,0.0247079964061096,79.5265049415993
"166","9E","BUF","JFK",928,0.0625,97.4903017241379
"167","9E","BUF","LGA",59,0.0338983050847458,82.8813559322034
"168","9E","BUF","MSP",111,0.036036036036036,140.891891891892
"169","9E","BWI","CVG",767,0.0260756192959583,102.125162972621
"170","9E","BWI","DTW",15,0,101.866666666667
"171","9E","BWI","JFK",932,0.0472103004291846,79.049356223176
"172","9E","BWI","MEM",285,0.0245614035087719,138.775438596491
"173","9E","BWI","MSP",275,0.0109090909090909,166.734545454545
"174","9E","BWI","RDU",621,0.0418679549114332,71.7729468599034
"175","9E","BZN","MSP",4,0,137
"176","9E","BZN","SLC",2,0,79
"177","9E","CAE","ATL",42,0,65.1428571428571
"178","9E","CAE","DTW",354,0.0141242937853107,125.550847457627
"179","9E","CAE","LGA",273,0.15018315018315,123.40293040293
"180","9E","CAK","ATL",1,0,96
"181","9E","CAK","DTW",1880,0.0164893617021277,66.9015957446808
"182","9E","CHA","ATL",561,0.017825311942959,58.3529411764706
"183","9E","CHA","DTW",112,0.0446428571428571,105.348214285714
"184","9E","CHA","MEM",313,0.0543130990415335,71.2460063897764
"185","9E","CHO","DTW",254,0.0433070866141732,103.496062992126
"186","9E","CHS","ATL",328,0.0121951219512195,77.2256097560976
"187","9E","CHS","DTW",1057,0.0132450331125828,135.048249763482
"188","9E","CHS","JFK",199,0.0452261306532663,122.894472361809
"189","9E","CHS","LGA",238,0.105042016806723,135.235294117647
"190","9E","CHS","MEM",41,0.0487804878048781,118
"191","9E","CID","ATL",141,0.0212765957446809,122.269503546099
"192","9E","CID","DTW",2096,0.0305343511450382,98.4584923664122
"193","9E","CID","MSP",1742,0.0177956371986223,67.9138920780712
